properties.subDivision,Longitude,Latitude
TN,-86.787588,36.156145
TN,-86.812043,36.145916
TN,-86.774905,36.120827
TN,-86.743719,36.142965
TN,-86.799331,36.1906
TN,-86.751526,36.124782
TN,-86.844063,36.152409
TN,-86.817641,36.101306
TN,-86.77736,36.208412
TN,-86.739419,36.200644
TN,-86.705319,36.121714
TN,-86.882105,36.138497
TN,-86.727361,36.081972
TN,-86.758737,36.235466
TN,-86.680055,36.170671
TN,-86.666165,36.145563
TN,-86.694864,36.086377
TN,-86.694515,36.219859
TN,-86.718885,36.251261
TN,-86.791678,36.035422
TN,-86.745035,36.040893
TN,-86.712866,36.046573
TN,-86.921428,36.074784
TN,-86.645302,36.079458
TN,-86.624955,36.192208
TN,-86.657509,36.257828
TN,-86.651974,36.048729
TN,-86.599811,36.169258
TN,-86.629187,36.060934
TN,-86.700042,36.300169
TN,-86.593396,36.215497
TN,-86.953624,36.045543
TN,-86.689994,35.997575
TN,-86.868133,36.321687
TN,-86.810918,35.966174
TN,-86.701685,36.325693
TN,-86.627775,36.30261
TN,-86.82375,35.945412
TN,-86.623049,36.321536
TN,-86.576885,36.020728
TN,-86.595715,36.00004
TN,-86.514653,36.161292
TN,-86.513918,36.173358
TN,-86.594261,36.326571
TN,-86.514369,36.231392
TN,-86.874179,35.925341
TN,-86.829192,35.915952
TN,-87.062253,36.273104
TN,-86.527231,35.992976
TN,-86.491961,35.9748
TN,-86.532749,35.933424
TN,-86.41028,36.188583
TN,-86.498114,36.359509
TN,-87.128348,35.972451
TN,-86.677994,36.469421
TN,-86.888559,36.483753
TN,-86.877321,36.493251
TN,-86.45516,36.385619
TN,-87.227905,36.108582
TN,-86.331644,36.216338
TN,-86.914705,35.77677
TN,-86.446419,35.865501
TN,-86.295938,36.187757
TN,-86.384348,35.909303
TN,-86.444125,35.844763
TN,-86.429987,35.847905
TN,-86.892989,35.73721
TN,-86.939161,35.744772
TN,-86.386139,35.868596
TN,-86.458605,35.811231
TN,-86.391134,35.841513
TN,-86.353194,35.871699
TN,-87.338021,36.022556
TN,-86.396984,35.80686
TN,-86.514752,36.575838
TN,-87.375958,36.076406
TN,-86.368039,35.811719
TN,-87.225563,36.523761
TN,-86.897777,35.643677
TN,-87.300482,36.514892
KY,-86.5586,36.668593
TN,-87.016889,35.635171
TN,-86.162067,36.399679
TN,-86.319229,35.724352
TN,-87.4883,35.99179
TN,-87.065261,35.605713
TN,-87.287348,36.596285
TN,-87.365181,36.539805
KY,-86.577578,36.734919
TN,-87.433704,35.834476
TN,-87.317204,36.624876
TN,-87.408928,36.576725
TN,-86.068427,35.82724
TN,-85.947097,36.180251
TN,-85.951869,36.260838
TN,-87.199362,35.547058
TN,-87.432944,36.627779
KY,-86.89121,36.851238
TN,-86.775723,35.446775
TN,-86.035614,36.5204
TN,-86.442265,35.48746
KY,-87.404966,36.678329
KY,-87.452488,36.696497
KY,-86.19313,36.75124
TN,-85.812195,35.956337
TN,-87.800005,36.0841
KY,-86.420825,36.942049
TN,-86.879597,35.30937
KY,-86.438611,36.9515
KY,-86.468417,36.960559
TN,-87.541535,35.551104
TN,-87.798583,35.883884
KY,-86.469291,36.978623
KY,-86.483954,36.986792
KY,-86.427954,36.990165
KY,-87.483934,36.844338
TN,-86.221118,35.373313
TN,-86.057086,35.459894
KY,-86.375558,37.007431
KY,-87.49853,36.871568
TN,-85.780284,35.70247
TN,-85.63029,36.139849
TN,-87.888301,36.479749
TN,-87.042275,35.2006
TN,-87.324948,35.255701
KY,-86.21043,37.043333
TN,-85.515202,36.154155
TN,-86.565785,35.130135
TN,-85.502536,36.137562
KY,-85.689957,36.703323
KY,-87.738229,36.880614
KY,-86.694926,37.21215
TN,-85.460428,36.182315
TN,-85.484912,35.944403
TN,-88.115044,36.057895
KY,-85.922157,37.008219
TN,-86.096418,35.199363
KY,-87.167474,37.227137
TN,-87.758968,35.323743
AL,-86.84056,34.991565
KY,-87.119365,37.289507
KY,-85.971374,37.134544
TN,-85.846026,35.241572
TN,-88.126236,35.654845
TN,-85.333717,36.379146
TN,-88.313584,36.289822
KY,-85.638988,36.98825
KY,-85.935417,37.201323
KY,-86.885907,37.433727
KY,-87.479996,37.327533
AL,-86.571989,34.858334
AL,-86.712893,34.84723
KY,-87.900087,37.113403
KY,-88.315739,36.611615
KY,-87.497624,37.348276
KY,-85.903085,37.28891
TN,-88.439387,35.996094
TN,-88.391086,35.790532
AL,-86.951807,34.803721
AL,-86.490904,34.817456
AL,-86.937074,34.782905
KY,-86.293906,37.468843
TN,-85.394264,35.36216
TN,-88.508071,36.129351
AL,-87.293979,34.823717
AL,-86.526899,34.773544
KY,-88.088867,37.086754
AL,-86.749355,34.75182
AL,-86.5919,34.757968
TN,-85.186332,35.616049
TN,-88.414417,35.657769
AL,-86.674813,34.744086
AL,-86.628711,34.735478
TN,-85.685998,35.042893
TN,-85.037469,35.962796
KY,-85.135748,36.696596
AL,-87.553783,34.85655
KY,-88.35576,36.86502
AL,-86.787186,34.701447
AL,-86.590584,34.7089
KY,-88.342489,36.925375
KY,-87.734261,37.411179
AL,-86.568649,34.692455
TN,-84.980937,35.963939
AL,-86.748785,34.677215
AL,-87.631279,34.837537
TN,-85.582125,35.03585
AL,-87.69069,34.848811
KY,-88.328317,37.003834
TN,-88.246087,35.224164
AL,-85.811901,34.873561
AL,-87.655299,34.820999
AL,-86.481895,34.658234
KY,-85.304109,37.093214
AL,-87.680785,34.817026
AL,-86.565927,34.642936
TN,-84.933748,36.432242
KY,-85.495644,37.273235
AL,-87.050942,34.619178
AL,-87.669782,34.774173
TN,-88.712702,36.278166
TN,-85.327266,35.140913
AL,-86.980114,34.589247
KY,-88.081555,37.334166
AL,-87.667269,34.74695
TN,-85.02942,35.475206
TN,-85.182283,35.25335
KY,-88.63135,36.728785
AL,-87.01399,34.572454
KY,-87.124509,37.72371
TN,-85.312555,35.089798
TN,-88.751779,35.905789
AL,-87.668655,34.71278
AL,-87.635839,34.697123
TN,-85.247152,35.13879
KY,-87.058213,37.752284
TN,-85.363849,35.025437
KY,-87.11389,37.748945
AL,-86.90812,34.53617
KY,-85.864878,37.595544
TN,-85.254478,35.115276
TN,-88.801042,36.153625
AL,-86.030792,34.648474
TN,-84.859668,35.692078
KY,-87.146638,37.756941
TN,-85.158681,35.20111
KY,-86.441391,37.762711
KY,-85.734864,37.55251
KY,-87.082532,37.779596
TN,-85.286977,35.046745
GA,-85.514245,34.868951
KY,-85.071399,37.062248
TN,-88.631708,35.441098
TN,-88.788838,35.79441
KY,-85.34002,37.344669
KY,-85.911038,37.672694
TN,-85.19346,35.084749
TN,-88.781869,35.674037
KY,-88.563807,37.04913
TN,-85.28946,34.991259
TN,-88.873455,36.348437
