"","state_name","Abb","state","count","population","count_per_pop"
"1","Alabama","Ala.","AL",245,4888949,50.1130202012743
"2","Alaska","Alaska","AK",3,738068,4.06466612832422
"3","Arizona","Ariz.","AZ",289,7123898,40.5676779762989
"4","Arkansas","Ark.","AR",173,3020327,57.2785661949848
"5","California","Calif.","CA",1288,39776830,32.3806597961678
"6","Colorado","Colo.","CO",211,5684203,37.1204195205555
"7","Connecticut","Conn.","CT",142,3588683,39.5688334689913
"8","Delaware","Del.","DE",37,971180,38.0979838958792
"9","District of Columbia","D.C.","DC",27,703608,38.3736398676536
"10","Florida","Fla.","FL",907,21312211,42.5577618389758
"11","Georgia","Ga.","GA",454,10545138,43.0530164707185
"12","Hawaii","Hawaii","HI",NA,1426393,NA
"13","Idaho","Idaho","ID",62,1753860,35.3505981093132
"14","Illinois","Ill.","IL",663,12768320,51.9253903410942
"15","Indiana","Ind.","IN",349,6699629,52.0924367603042
"16","Iowa","Iowa","IA",147,3160553,46.5108479433821
"17","Kansas","Kans.","KS",148,2918515,50.7107210344987
"18","Kentucky","Ky.","KY",251,4472265,56.1236867672197
"19","Louisiana","La.","LA",240,4682509,51.2545731358979
"20","Maine","Maine","ME",62,1341582,46.2140964920519
"21","Maryland","Md.","MD",288,6079602,47.3715220173952
"22","Massachusetts","Mass.","MA",234,6895917,33.9331230349785
"23","Michigan","Mich.","MI",545,9991177,54.5481278131696
"24","Minnesota","Minn.","MN",226,5628162,40.1552051984289
"25","Mississippi","Miss.","MS",144,2982785,48.277029688697
"26","Missouri","Mo.","MO",315,6135888,51.3373125454702
"27","Montana","Mont.","MT",48,1062330,45.1836999802321
"28","Nebraska","Nebr.","NE",78,1932549,40.3612017082102
"29","Nevada","Nev.","NV",144,3056824,47.107717029178
"30","New Hampshire","N.H.","NH",54,1350575,39.9829702163893
"31","New Jersey","N.J.","NJ",264,9032872,29.2265848558465
"32","New Mexico","N.M.","NM",104,2090708,49.7439145016903
"33","New York","N.Y.","NY",617,19862512,31.063543221522
"34","North Carolina","N.C.","NC",489,10390149,47.0638101532519
"35","North Dakota","N.D.","ND",25,755238,33.102147932175
"36","Ohio","Ohio","OH",615,11694664,52.5880863272344
"37","Oklahoma","Okla.","OK",204,3940521,51.7698040436785
"38","Oregon","Ore.","OR",164,4199563,39.0516822821803
"39","Pennsylvania","Pa.","PA",494,12823989,38.5215551884831
"40","Rhode Island","R.I.","RI",31,1061712,29.1981252919813
"41","South Carolina","S.C.","SC",230,5088916,45.1962657666191
"42","South Dakota","S.D.","SD",30,877790,34.1767393112248
"43","Tennessee","Tenn.","TN",331,6782564,48.8016036413368
"44","Texas","Tex.","TX",1191,28704330,41.4919978971814
"45","Utah","Utah","UT",116,3159345,36.7164712938916
"46","Vermont","Vt.","VT",26,623960,41.6693377780627
"47","Virginia","Va.","VA",401,8525660,47.0344817879202
"48","Washington","Wash.","WA",263,7530552,34.9243986363815
"49","West Virginia","W.Va.","WV",104,1803077,57.6791784266562
"50","Wisconsin","Wis.","WI",299,5818049,51.3917981783928
"51","Wyoming","Wyo.","WY",29,573720,50.547305305724
